Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,What is your gender?,"In what year were you born? (enter 4-digit birth year; for example, 1976)",How many children do you have?,Which statement best matches your views on evolution?,Age,Gender,Household Income,Region,Device Type
10812162263,238615316,06/20/2019 04:10:45 PM,06/20/2019 04:11:13 PM,,,,,b41b8d982ba70dadd5096f947b,Female,1956,2,Humans and other organisms have changed over time through evolution by natural selection.,> 60,Female,"$50,000-$74,999",East South Central,iOS Phone / Tablet
10812153847,238615316,06/20/2019 04:05:42 PM,06/20/2019 04:06:08 PM,,,,,642db67817ca7307b90423c18e,Male,1973,3,Humans and other organisms have changed over time through evolution by natural selection.,45-60,Male,"$125,000-$149,999",South Atlantic,iOS Phone / Tablet
10812129341,238615316,06/20/2019 03:51:29 PM,06/20/2019 03:52:01 PM,,,,,6c835b826268a55112068831ba,Female,1949,2,Humans and other organisms have changed over time due to processes guided by God or a higher power.,> 60,Female,"$25,000-$49,999",West South Central,Windows Desktop / Laptop
10812116038,238615316,06/20/2019 03:43:50 PM,06/20/2019 03:44:36 PM,,,,,076fa0938f5d77d9e11593d54e,Male,1961,3,Humans and other organisms have changed over time through evolution by natural selection.,45-60,Male,"$125,000-$149,999",West South Central,iOS Phone / Tablet
10812094912,238615316,06/20/2019 03:32:37 PM,06/20/2019 03:33:15 PM,,,,,914eb6605ef17d2c773ec20c1b,Female,1972,None,Humans and other organisms have changed over time due to processes guided by God or a higher power.,45-60,Female,"$10,000-$24,999",South Atlantic,Android Phone / Tablet
10812059867,238615316,06/20/2019 03:13:44 PM,06/20/2019 03:14:24 PM,,,,,bbf502be9fd6c12205c68f0a18,Female,1958,3,Humans and other organisms have changed over time due to processes guided by God or a higher power.,> 60,Female,"$100,000-$124,999",Pacific,Android Phone / Tablet
10812047754,238615316,06/20/2019 03:07:15 PM,06/20/2019 03:08:04 PM,,,,,ae819a713f211f4fe6b545cb6f,Female,2000,None,Humans and other organisms have changed over time due to processes guided by God or a higher power.,18-29,Female,"$0-$9,999",South Atlantic,iOS Phone / Tablet
10812032046,238615316,06/20/2019 02:58:33 PM,06/20/2019 02:59:31 PM,,,,,8056acab5a3a05492f929ccb2b,Male,1967,3,Humans and other organisms have changed over time through evolution by natural selection.,45-60,Male,"$100,000-$124,999",Mountain,iOS Phone / Tablet
10812031163,238615316,06/20/2019 02:58:27 PM,06/20/2019 02:59:00 PM,,,,,400d5e739c3582ac9947c14e3f,Male,1948,3,Humans and other organisms have changed over time through evolution by natural selection.,> 60,Male,"$125,000-$149,999",East South Central,MacOS Desktop / Laptop
10812025152,238615316,06/20/2019 02:54:56 PM,06/20/2019 02:55:32 PM,,,,,603fe8217e5c331d850b946f7d,Female,1960,2,Humans and other organisms have changed over time through evolution by natural selection.,45-60,Female,Prefer not to answer,East North Central,iOS Phone / Tablet
10811991859,238615316,06/20/2019 02:36:02 PM,06/20/2019 02:37:30 PM,,,,,7c33709ea07f9b9d07000b2f9c,Male,1966,None,Humans and other organisms have changed over time due to processes guided by God or a higher power.,45-60,Male,"$75,000-$99,999",Middle Atlantic,iOS Phone / Tablet
10811989098,238615316,06/20/2019 02:35:33 PM,06/20/2019 02:36:03 PM,,,,,87292dfff6a91bf2aef5bfc419,Female,1968,2,Humans and other organisms have changed over time through evolution by natural selection.,45-60,Female,"$100,000-$124,999",Pacific,iOS Phone / Tablet
10811988786,238615316,06/20/2019 02:35:33 PM,06/20/2019 02:35:53 PM,,,,,760a0f5897645f6f9aafcfbab7,Male,1991,None,Humans and other organisms have changed over time through evolution by natural selection.,18-29,Male,"$50,000-$74,999",Pacific,Android Phone / Tablet
10811988612,238615316,06/20/2019 02:35:33 PM,06/20/2019 02:35:48 PM,,,,,54e57cc33e8e918d50b0848d48,Female,1990,2,Humans and other organisms have changed over time through evolution by natural selection.,18-29,Female,"$50,000-$74,999",West South Central,Android Phone / Tablet
